Label, Latitude, Longitude, Azimuth_To_Target
NW2 SE8 5, 38.862654180, -77.080371528, 134.9899
NW2 SE8 6, 38.852404341, -77.067259737, 134.9981
NW2 SE8 7, 38.842153012, -77.054151709, 135.0063
NW2 SE8 8, 38.831900195, -77.041047442, 135.0145
NW2 SE8 9, 38.821645890, -77.027946935, 135.0228
NW2 SE8 10, 38.810920000, -77.014250000, 135.0310
SW5 NE5 0, 38.842081000, -77.106740000, 45.1301
SW5 NE5 1, 38.852307898, -77.093600818, 45.1383
SW5 NE5 2, 38.862533300, -77.080457873, 45.1465
SW5 NE5 3, 38.872757204, -77.067311163, 45.1548
SW5 NE5 4, 38.882979610, -77.054160686, 45.1630
SW5 NE5 5, 38.893200516, -77.041006440, 45.1713
SW5 NE5 6, 38.903419923, -77.027848423, 45.1796
SW5 NE5 7, 38.913637828, -77.014686634, 45.1878
SW5 NE5 8, 38.923854231, -77.001521069, 45.1961
SW5 NE5 9, 38.934069131, -76.988351728, 45.2044
SW5 NE5 10, 38.944414000, -76.975009000, 45.2127
NE5 SW5 0, 38.944414000, -76.975009000, -134.7872
NE5 SW5 1, 38.934200623, -76.988182168, -134.7955
NE5 SW5 2, 38.923985743, -77.001351557, -134.8038
NE5 SW5 3, 38.913769359, -77.014517170, -134.8121
NE5 SW5 4, 38.903551473, -77.027679008, -134.8203
NE5 SW5 5, 38.893332086, -77.040837074, -134.8286
NE5 SW5 6, 38.883111198, -77.053991368, -134.8368
NE5 SW5 7, 38.872888812, -77.067141894, -134.8451
NE5 SW5 8, 38.862664927, -77.080288653, -134.8533
NE5 SW5 9, 38.852439545, -77.093431646, -134.8616
NE5 SW5 10, 38.842081000, -77.106740000, -134.8698
SE5 NW5 0, 38.841683000, -76.974839000, -44.9805
SE5 NW5 1, 38.851936681, -76.987943934, -44.9887
SE5 NW5 2, 38.862188874, -77.001052630, -44.9970
SE5 NW5 3, 38.872439576, -77.014165092, -45.0052
SE5 NW5 4, 38.882688788, -77.027281321, -45.0134
SE5 NW5 5, 38.892936509, -77.040401319, -45.0217
SE5 NW5 6, 38.903182737, -77.053525087, -45.0299
SE5 NW5 7, 38.913427471, -77.066652629, -45.0382
SE5 NW5 8, 38.923670711, -77.079783945, -45.0464
SE5 NW5 9, 38.933912455, -77.092919037, -45.0547
SE5 NW5 10, 38.944639000, -77.106682000, -45.0629
NW5 SE5 0, 38.944639000, -77.106682000, 134.9367
NW5 SE5 1, 38.934398823, -77.093542949, 134.9450
NW5 SE5 2, 38.924157150, -77.080407677, 134.9532
NW5 SE5 3, 38.913913981, -77.067276182, 134.9615
NW5 SE5 4, 38.903669318, -77.054148461, 134.9697
NW5 SE5 5, 38.893423161, -77.041024513, 134.9779
NW5 SE5 6, 38.883175512, -77.027904337, 134.9862
NW5 SE5 7, 38.872926370, -77.014787929, 134.9944
NW5 SE5 8, 38.862675739, -77.001675288, 135.0026
NW5 SE5 9, 38.852423617, -76.988566413, 135.0109
NW5 SE5 10, 38.841683000, -76.974839000, 135.0191
